Sample,seconds_elapsed,Acx,Acy,Acz,Gyx,Gyy,Gyz
215,8.5224,-44.748,-0.688,-0.255,0.005,0.005,0.0
216,8.5433,-44.749,-0.686,-0.246,0.005,0.005,-0.001
216,8.5622,-44.75,-0.68,-0.235,0.005,0.006,0.0
217,8.5832,-44.75,-0.674,-0.231,0.002,0.004,0.0
218,8.6021,-44.75,-0.669,-0.229,0.002,0.006,0.0
219,8.623,-44.75,-0.663,-0.22,0.001,0.003,0.001
220,8.642,-44.75,-0.656,-0.217,0.001,0.007,0.0
221,8.6629,-44.751,-0.651,-0.219,-0.0,0.004,-0.001
222,8.6838,-44.752,-0.644,-0.217,0.004,0.006,-0.001
223,8.7028,-44.753,-0.641,-0.216,0.001,0.005,-0.001
224,8.7237,-44.753,-0.637,-0.207,0.005,0.006,0.0
225,8.7426,-44.754,-0.632,-0.199,0.003,0.006,0.0
225,8.7636,-44.754,-0.627,-0.197,0.003,0.004,0.0
226,8.7825,-44.754,-0.622,-0.19,0.003,0.004,0.0
227,8.8034,-44.752,-0.617,-0.18,0.003,0.004,0.002
228,8.8223,-44.752,-0.615,-0.179,0.0,0.004,0.0
229,8.8433,-44.753,-0.61,-0.181,0.0,0.004,-0.001
230,8.8622,-44.752,-0.604,-0.183,0.002,0.005,0.001
231,8.8831,-44.751,-0.597,-0.178,0.003,0.007,0.001
232,8.9021,-44.75,-0.592,-0.17,0.005,0.004,0.001
233,8.923,-44.75,-0.587,-0.163,0.004,0.005,0.0
234,8.942,-44.751,-0.583,-0.158,0.003,0.005,-0.001
234,8.9629,-44.752,-0.578,-0.152,0.003,0.005,0.0
235,8.9838,-44.752,-0.572,-0.147,0.003,0.006,0.0
236,9.0027,-44.752,-0.568,-0.145,0.003,0.004,0.0
237,9.0237,-44.752,-0.563,-0.142,0.003,0.005,0.0
238,9.0426,-44.752,-0.56,-0.139,0.002,0.004,0.0
239,9.0635,-44.752,-0.556,-0.131,0.004,0.005,0.0
240,9.0825,-44.752,-0.551,-0.129,0.002,0.004,0.0
241,9.1034,-44.751,-0.549,-0.127,0.003,0.004,0.001
242,9.1223,-44.752,-0.544,-0.124,0.003,0.004,-0.001
243,9.1432,-44.753,-0.541,-0.119,0.003,0.005,-0.001
243,9.1622,-44.752,-0.539,-0.115,0.003,0.004,0.001
244,9.1831,-44.751,-0.536,-0.111,0.002,0.005,0.001
245,9.2021,-44.751,-0.532,-0.107,0.003,0.005,0.0
246,9.223,-44.751,-0.527,-0.102,0.002,0.006,0.0
247,9.2419,-44.751,-0.523,-0.098,0.002,0.005,0.0
248,9.2629,-44.75,-0.519,-0.097,0.002,0.005,0.001
249,9.2838,-44.75,-0.515,-0.093,0.003,0.005,0.0
250,9.3027,-44.751,-0.511,-0.091,0.003,0.004,-0.001
251,9.3236,-44.75,-0.508,-0.089,0.003,0.005,0.001
252,9.3426,-44.75,-0.508,-0.085,0.004,0.004,0.0
252,9.3635,-44.75,-0.505,-0.081,0.003,0.005,0.0
253,9.3825,-44.749,-0.5,-0.074,0.005,0.006,0.001
254,9.4034,-44.749,-0.499,-0.07,0.001,0.004,0.0
255,9.4223,-44.75,-0.496,-0.068,0.002,0.004,-0.001
256,9.4432,-44.75,-0.494,-0.071,0.0,0.005,0.0
257,9.4622,-44.75,-0.491,-0.067,0.004,0.005,0.0
258,9.4831,-44.75,-0.489,-0.063,0.004,0.004,0.0
259,9.502,-44.749,-0.485,-0.059,0.004,0.005,0.001
260,9.523,-44.75,-0.483,-0.055,0.004,0.005,-0.001
261,9.5419,-44.751,-0.48,-0.052,0.003,0.005,-0.001
261,9.5628,-44.751,-0.476,-0.046,0.004,0.005,0.0
262,9.5837,-44.751,-0.475,-0.041,0.003,0.004,0.0
263,9.6027,-44.75,-0.47,-0.039,0.002,0.006,0.001
264,9.6236,-44.747,-0.47,-0.037,0.003,0.004,0.002
265,9.6425,-44.747,-0.468,-0.034,0.002,0.005,0.0
266,9.6635,-44.746,-0.465,-0.033,0.003,0.006,0.001
267,9.6824,-44.746,-0.465,-0.033,0.001,0.003,0.0
268,9.7033,-44.743,-0.464,-0.03,0.004,0.003,0.002
269,9.7223,-44.742,-0.461,-0.027,0.003,0.005,0.001
270,9.7432,-44.743,-0.458,-0.024,0.003,0.004,-0.001
270,9.7621,-44.743,-0.456,-0.021,0.004,0.004,0.0
271,9.783,-44.744,-0.453,-0.018,0.004,0.004,-0.001
272,9.802,-44.744,-0.451,-0.014,0.003,0.004,0.0
